NT;3
HP;140
C;ID;CE;S
0-I;1;0;2
0-F;1;1;4
1-I;2;0;2
1-F;2;1;2
2-I;2;1;2
2-F;2;2;4
3-I;3;0;2
3-F;3;1;2
4-I;1;0;2
4-I;3;1;3
4-I;1;0;2
4-F;1;1;4
5-I;3;1;2
5-F;3;2;2
6-I;3;2;2
6-F;3;3;2
7-I;2;0;2
7-I;3;3;3
7-I;2;0;2
8-I;1;0;2
8-I;2;1;3
8-I;1;0;2
8-F;1;1;4
9-I;2;1;2
9-F;2;2;4
10-I;3;3;2
10-F;3;4;2
11-I;3;4;2
11-F;3;5;4
12-I;1;0;2
12-F;1;1;4
13-I;3;0;2
13-F;3;1;2
14-I;2;0;2
14-I;3;1;3
14-I;2;0;2
15-I;2;1;2
15-F;2;2;4
16-I;1;0;2
16-F;1;1;4
17-I;3;1;2
17-F;3;2;2
18-I;3;2;2
18-F;3;3;2
19-I;3;3;2
19-F;3;4;2
20-I;1;0;2
20-I;3;4;3
20-I;1;0;2
20-F;1;1;4
21-I;2;0;2
21-F;2;1;2
22-I;2;1;2
22-F;2;2;4
23-I;3;4;2
23-F;3;5;4
24-I;1;0;2
24-F;1;1;4
25-I;3;0;2
25-F;3;1;2
26-I;3;1;2
26-F;3;2;2
27-I;3;2;2
27-F;3;3;2
28-I;1;0;2
28-I;3;3;3
28-I;1;0;2
28-F;1;1;4
29-I;2;0;2
29-F;2;1;2
30-I;2;1;2
30-F;2;2;4
31-I;3;3;2
31-F;3;4;2
32-I;1;0;2
32-I;3;4;3
32-I;1;0;2
32-F;1;1;4
33-I;3;4;2
33-F;3;5;4
34-I;3;0;2
34-F;3;1;2
35-I;2;0;2
35-I;3;1;3
35-I;2;0;2
36-I;1;0;2
36-I;2;1;3
36-I;1;0;2
36-F;1;1;4
37-I;2;1;2
37-F;2;2;4
38-I;3;1;2
38-F;3;2;2
39-I;3;2;2
39-F;3;3;2
40-I;1;0;2
40-I;3;3;3
40-I;1;0;2
40-F;1;1;4
41-I;3;3;2
41-F;3;4;2
42-I;2;0;2
42-I;3;4;3
42-I;2;0;2
43-I;2;1;2
43-F;2;2;4
44-I;1;0;2
44-F;1;1;4
45-I;3;4;2
45-F;3;5;4
46-I;3;0;2
46-F;3;1;2
47-I;3;1;2
47-F;3;2;2
48-I;1;0;2
48-I;3;2;3
48-I;1;0;2
48-F;1;1;4
49-I;2;0;2
49-F;2;1;2
50-I;2;1;2
50-F;2;2;4
51-I;3;2;2
51-F;3;3;2
52-I;1;0;2
52-I;3;3;3
52-I;1;0;2
52-F;1;1;4
53-I;3;3;2
53-F;3;4;2
54-I;3;4;2
54-F;3;5;4
55-I;3;0;2
55-F;3;1;2
56-I;1;0;2
56-I;3;1;3
56-I;1;0;2
56-F;1;1;4
57-I;2;0;2
57-F;2;1;2
58-I;2;1;2
58-F;2;2;4
59-I;3;1;2
59-F;3;2;2
60-I;1;0;2
60-I;3;2;3
60-I;1;0;2
60-F;1;1;4
61-I;3;2;2
61-F;3;3;2
62-I;3;3;2
62-F;3;4;2
63-I;2;0;2
63-I;3;4;3
63-I;2;0;2
64-I;1;0;2
64-I;2;1;3
64-I;1;0;2
64-F;1;1;4
65-I;2;1;2
65-F;2;2;4
66-I;3;4;2
66-F;3;5;4
67-I;3;0;2
67-F;3;1;2
68-I;1;0;2
68-I;3;1;3
68-I;1;0;2
68-F;1;1;4
69-I;3;1;2
69-F;3;2;2
70-I;2;0;2
70-I;3;2;3
70-I;2;0;2
71-I;2;1;2
71-F;2;2;4
72-I;1;0;2
72-F;1;1;4
73-I;3;2;2
73-F;3;3;2
74-I;3;3;2
74-F;3;4;2
75-I;3;4;2
75-F;3;5;4
76-I;1;0;2
76-F;1;1;4
77-I;2;0;2
77-F;2;1;2
78-I;2;1;2
78-F;2;2;4
79-I;3;0;2
79-F;3;1;2
80-I;1;0;2
80-I;3;1;3
80-I;1;0;2
80-F;1;1;4
81-I;3;1;2
81-F;3;2;2
82-I;3;2;2
82-F;3;3;2
83-I;3;3;2
83-F;3;4;2
84-I;1;0;2
84-I;3;4;3
84-I;1;0;2
84-F;1;1;4
85-I;2;0;2
85-F;2;1;2
86-I;2;1;2
86-F;2;2;4
87-I;3;4;2
87-F;3;5;4
88-I;1;0;2
88-F;1;1;4
89-I;3;0;2
89-F;3;1;2
90-I;3;1;2
90-F;3;2;2
91-I;2;0;2
